"Journal","ISSN","EISSN","Web of Science","IF(2025)","IF(2024)","IF变化","JCR分区(学科)","中科院大类","中科院大类分区","Top期刊","中科院小类分区"
"Journal of Cardiovascular Computed Tomography","1934-5925","1934-5925","SCIE","5.4","5.8","-0.4","Q1@CARDIAC & CARDIOVASCULAR SYSTEMS | Q1@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","医学","2 [613/5603]","","2 [25/206]@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学 | 3 [41/223]@CARDIAC & CARDIOVASCULAR SYSTEMS 心脏和心血管系统"
"BIOLOGICAL RESEARCH","0716-9760","0717-6287","SCIE","5.4","4.6","0.8","Q1@BIOLOGY","生物学","2 [177/1091]","","2 [18/109]@BIOLOGY 生物学"
"Pacific-Basin Finance Journal","0927-538X","1879-0585","SSCI","5.4","5.3","0.1","Q1@BUSINESS, FINANCE","经济学","2 [67/765]","","2 [25/231]@BUSINESS, FINANCE 商业：财政与金融"
"American Journal of Preventive Cardiology","2666-6677","2666-6677","ESCI","5.4","5.9","-0.5","Q1@CARDIAC & CARDIOVASCULAR SYSTEMS","医学","2 [943/5603]","","3 [53/223]@CARDIAC & CARDIOVASCULAR SYSTEMS 心脏和心血管系统"
"IEEE TRANSACTIONS ON RELIABILITY","0018-9529","1558-1721","SCIE","5.4","5.7","-0.3","Q1@COMPUTER SCIENCE, HARDWARE & ARCHITECTURE | Q1@COMPUTER SCIENCE, SOFTWARE ENGINEERING | Q1@ENGINEERING, ELECTRICAL & ELECTRONIC","计算机科学","2 [111/758]","","2 [6/58]@COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件 | 2 [17/131]@COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程 | 2 [60/352]@ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气"
"JOURNAL OF NEUROLOGY","0340-5354","1432-1459","SCIE","5.4","4.6","0.8","Q1@CLINICAL NEUROLOGY","医学","2 [594/5603]","","2 [32/278]@CLINICAL NEUROLOGY 临床神经病学"
"European Journal of Cardiovascular Nursing","1474-5151","1873-1953","SCIE, SSCI","5.4","3.9","1.5","Q1@CARDIAC & CARDIOVASCULAR SYSTEMS | Q1@NURSING","医学","3 [1844/5603]","","3 [86/223]@CARDIAC & CARDIOVASCULAR SYSTEMS 心脏和心血管系统 | 3 [39/191]@NURSING 护理"
"Anaesthesia Critical Care & Pain Medicine","2352-5568","2352-5568","SCIE","5.4","4.7","0.7","Q1@ANESTHESIOLOGY | Q1@CRITICAL CARE MEDICINE","医学","2 [954/5603]","","3 [12/64]@ANESTHESIOLOGY 麻醉学 | 3 [14/56]@CRITICAL CARE MEDICINE 危重病医学"
"mBio","N/A","2150-7511","SCIE","5.4","71.5","-66.1","Q1@MICROBIOLOGY","生物学","2 [131/1091]","是","2 [23/159]@MICROBIOLOGY 微生物学"
"MICROCHIMICA ACTA","0026-3672","1436-5073","SCIE","5.4","5.3","0.1","Q1@CHEMISTRY, ANALYTICAL","化学","2 [100/490]","","2 [26/106]@CHEMISTRY, ANALYTICAL 分析化学"
"BMC MICROBIOLOGY","1471-2180","1471-2180","SCIE","5.4","4.2","1.2","Q1@MICROBIOLOGY","生物学","2 [184/1091]","","3 [46/159]@MICROBIOLOGY 微生物学"
"JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM","0021-972X","1945-7197","SCIE","5.4","5.1","0.3","Q1@ENDOCRINOLOGY & METABOLISM","医学","2 [518/5603]","是","2 [26/184]@ENDOCRINOLOGY & METABOLISM 内分泌学与代谢"
"CRANIO-The Journal of Craniomandibular & Sleep Practice","0886-9634","2151-0903","SCIE","5.4","1.9","3.5","Q1@DENTISTRY, ORAL SURGERY & MEDICINE","医学","4 [2706/5603]","","4 [78/157]@DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科"
"Ad Hoc Networks","1570-8705","1570-8713","SCIE","5.4","4.8","0.6","Q1@COMPUTER SCIENCE, INFORMATION SYSTEMS | Q2@TELECOMMUNICATIONS","计算机科学","3 [175/758]","","3 [65/249]@COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统 | 3 [33/119]@TELECOMMUNICATIONS 电信学"
"FOOD MICROBIOLOGY","0740-0020","1095-9998","SCIE","5.4","4.6","0.8","Q1@BIOTECHNOLOGY & APPLIED MICROBIOLOGY | Q2@FOOD SCIENCE & TECHNOLOGY | Q1@MICROBIOLOGY","农林科学","1 [58/904]","是","1 [15/174]@BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物 | 2 [26/173]@FOOD SCIENCE & TECHNOLOGY 食品科技 | 2 [28/159]@MICROBIOLOGY 微生物学"
"Journal of Trust Research","2151-5581","2151-559X","ESCI","5.4","3.5","1.9","Q1@MANAGEMENT | Q1@PSYCHOLOGY, SOCIAL","社会学","3 [321/2039]","","3 [33/76]@PSYCHOLOGY, SOCIAL 心理学：社会 | 4 [149/404]@MANAGEMENT 管理学"
"OSTEOPOROSIS INTERNATIONAL","0937-941X","1433-2965","SCIE","5.4","5.4","0.0","Q1@ENDOCRINOLOGY & METABOLISM","医学","2 [789/5603]","","2 [41/184]@ENDOCRINOLOGY & METABOLISM 内分泌学与代谢"
"CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW","0964-8410","1467-8683","SSCI","5.4","5.5","-0.1","Q2@BUSINESS | Q1@BUSINESS, FINANCE | Q1@MANAGEMENT","管理学","3 [240/1025]","","3 [48/231]@BUSINESS, FINANCE 商业：财政与金融 | 4 [89/302]@BUSINESS 商业：管理 | 4 [134/404]@MANAGEMENT 管理学"
"AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY","1044-1549","1535-4989","SCIE","5.4","5.3","0.1","Q1@BIOCHEMISTRY & MOLECULAR BIOLOGY | Q2@CELL BIOLOGY | Q1@RESPIRATORY SYSTEM","医学","2 [472/5603]","","2 [44/310]@BIOCHEMISTRY & MOLECULAR BIOLOGY 生化与分子生物学 | 2 [50/203]@CELL BIOLOGY 细胞生物学 | 2 [12/101]@RESPIRATORY SYSTEM 呼吸系统"
"NATURAL HAZARDS AND EARTH SYSTEM SCIENCES","1561-8633","1684-9981","SCIE","5.4","4.7","0.7","Q1@GEOSCIENCES, MULTIDISCIPLINARY | Q1@METEOROLOGY & ATMOSPHERIC SCIENCES | Q1@WATER RESOURCES","地球科学","2 [98/575]","","2 [54/258]@GEOSCIENCES, MULTIDISCIPLINARY 地球科学：综合 | 2 [17/124]@WATER RESOURCES 水资源 | 3 [30/109]@METEOROLOGY & ATMOSPHERIC SCIENCES 气象与大气科学"
"Frontiers in Pharmacology","N/A","1663-9812","SCIE","5.4","71.5","-66.1","Q1@PHARMACOLOGY & PHARMACY","医学","3 [1338/5603]","","3 [85/350]@PHARMACOLOGY & PHARMACY 药学"
"Environmental Research Letters","1748-9326","1748-9326","SCIE","5.4","5.6","-0.2","Q2@ENVIRONMENTAL SCIENCES | Q1@METEOROLOGY & ATMOSPHERIC SCIENCES","环境科学与生态学","2 [66/504]","","2 [61/357]@ENVIRONMENTAL SCIENCES 环境科学 | 2 [16/109]@METEOROLOGY & ATMOSPHERIC SCIENCES 气象与大气科学"
"International Journal of Digital Earth","1753-8947","1753-8955","SCIE","5.4","4.9","0.5","Q1@GEOGRAPHY, PHYSICAL | Q1@REMOTE SENSING","地球科学","2 [124/575]","","3 [18/63]@GEOGRAPHY, PHYSICAL 自然地理 | 3 [20/61]@REMOTE SENSING 遥感"
"VIRTUAL REALITY","1359-4338","1434-9957","SCIE","5.4","5","0.4","Q2@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS | Q1@COMPUTER SCIENCE, SOFTWARE ENGINEERING | Q2@IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY","计算机科学","2 [125/758]","","2 [21/131]@COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程 | 2 [8/35]@IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY 成像科学与照相技术 | 3 [42/172]@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用"
"Artificial Intelligence in Geosciences","N/A","2666-5441","ESCI","5.4","71.5","-66.1","Q1@GEOSCIENCES, MULTIDISCIPLINARY","地球科学","4 [574/575]","","4 [256/258]@Geosciences, Multidisciplinary 地球科学：综合"
"China Journal of Accounting Research","1755-3091","1755-3091","ESCI","5.4","4","1.4","Q1@BUSINESS, FINANCE","管理学","4 [509/1025]","","4 [114/231]@BUSINESS, FINANCE 商业：财政与金融"
"Applied Food Research","2772-5022","2772-5022","ESCI","5.4","6.2","-0.8","Q2@FOOD SCIENCE & TECHNOLOGY","农林科学","3 [219/904]","","3 [66/173]@FOOD SCIENCE & TECHNOLOGY 食品科技"
"Ocean-Land-Atmosphere Research","N/A","2771-0378","ESCI","5.4","71.5","-66.1","Q1@METEOROLOGY & ATMOSPHERIC SCIENCES | Q1@OCEANOGRAPHY","","","",""
"Geo-Spatial Information Science","1009-5020","1993-5153","SCIE","5.4","5.5","-0.1","Q1@REMOTE SENSING","地球科学","2 [120/575]","","2 [13/61]@REMOTE SENSING 遥感"
"Climate Services","2405-8807","2405-8807","SCIE, SSCI","5.4","4.5","0.9","Q2@ENVIRONMENTAL SCIENCES | Q1@ENVIRONMENTAL STUDIES | Q1@METEOROLOGY & ATMOSPHERIC SCIENCES","环境科学与生态学","2 [81/504]","","2 [72/357]@ENVIRONMENTAL SCIENCES 环境科学 | 2 [26/109]@METEOROLOGY & ATMOSPHERIC SCIENCES 气象与大气科学 | 3 [52/183]@ENVIRONMENTAL STUDIES 环境研究"
"AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY","0363-6143","1522-1563","SCIE","5.4","4.7","0.7","Q2@CELL BIOLOGY | Q1@PHYSIOLOGY","生物学","3 [295/1091]","","3 [96/203]@CELL BIOLOGY 细胞生物学 | 3 [27/84]@PHYSIOLOGY 生理学"
"JOURNAL OF TECHNOLOGY TRANSFER","0892-9912","1573-7047","SSCI","5.4","4.3","1.1","Q1@MANAGEMENT","管理学","2 [125/1025]","","3 [84/404]@MANAGEMENT 管理学"
"GPS SOLUTIONS","1080-5370","1521-1886","SCIE","5.4","3.9","1.5","Q1@REMOTE SENSING","地球科学","1 [33/575]","是","2 [10/61]@REMOTE SENSING 遥感"
"INTERNATIONAL JOURNAL OF OBESITY","0307-0565","1476-5497","SCIE","5.4","3.8","1.6","Q1@ENDOCRINOLOGY & METABOLISM | Q1@NUTRITION & DIETETICS","医学","2 [769/5603]","","2 [40/184]@ENDOCRINOLOGY & METABOLISM 内分泌学与代谢 | 2 [22/113]@NUTRITION & DIETETICS 营养学"
"INTERNATIONAL MARKETING REVIEW","0265-1335","1758-6763","SSCI","5.4","4.6","0.8","Q2@BUSINESS","管理学","3 [254/1025]","","4 [92/302]@BUSINESS 商业：管理"
"CURRENT OPINION IN RHEUMATOLOGY","1040-8711","1531-6963","SCIE","5.4","4.3","1.1","Q1@RHEUMATOLOGY","医学","2 [647/5603]","","3 [11/55]@RHEUMATOLOGY 风湿病学"
"INFLAMMATION","0360-3997","1573-2576","SCIE","5.4","5","0.4","Q2@CELL BIOLOGY | Q2@IMMUNOLOGY","医学","2 [1018/5603]","","3 [70/203]@CELL BIOLOGY 细胞生物学 | 3 [55/179]@IMMUNOLOGY 免疫学"
"IMMUNOLOGY","0019-2805","1365-2567","SCIE","5.4","5","0.4","Q2@IMMUNOLOGY","医学","3 [1756/5603]","","3 [77/179]@IMMUNOLOGY 免疫学"
"Food Hydrocolloids for Health","2667-0259","2667-0259","ESCI","5.4","5.1","0.3","Q1@CHEMISTRY, APPLIED | Q2@FOOD SCIENCE & TECHNOLOGY","农林科学","2 [193/904]","","3 [22/74]@CHEMISTRY, APPLIED 应用化学 | 3 [59/173]@FOOD SCIENCE & TECHNOLOGY 食品科技"
"Food Innovation and Advances","N/A","2836-774X","ESCI","5.4","71.5","-66.1","Q2@FOOD SCIENCE & TECHNOLOGY","","","",""
"REACTIVE & FUNCTIONAL POLYMERS","1381-5148","1873-166X","SCIE","5.4","5.1","0.3","Q1@CHEMISTRY, APPLIED | Q2@ENGINEERING, CHEMICAL | Q1@POLYMER SCIENCE","工程技术","3 [410/1437]","","2 [24/94]@POLYMER SCIENCE 高分子科学 | 3 [26/74]@CHEMISTRY, APPLIED 应用化学 | 3 [64/169]@ENGINEERING, CHEMICAL 工程：化工"
"WIREs Mechanisms of Disease","2692-9368","2692-9368","SCIE","5.4","4.9","0.5","Q1@MEDICINE, RESEARCH & EXPERIMENTAL","医学","2 [827/5603]","","2 [35/188]@MEDICINE, RESEARCH & EXPERIMENTAL 医学：研究与实验"
"BOTANICAL REVIEW","0006-8101","1874-9372","SCIE","5.4","3","2.4","Q1@PLANT SCIENCES","生物学","2 [187/1091]","","2 [40/265]@PLANT SCIENCES 植物科学"
"COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","0927-7757","1873-4359","SCIE","5.4","5.4","0.0","Q2@CHEMISTRY, PHYSICAL","化学","2 [104/490]","","2 [25/104]@CHEMISTRY, PHYSICAL 物理化学"
"AIMS Microbiology","2471-1888","2471-1888","ESCI","5.4","4.1","1.3","Q1@MICROBIOLOGY","生物学","4 [610/1091]","","4 [109/159]@MICROBIOLOGY 微生物学"
"Analytical Science Advances","2628-5452","2628-5452","ESCI","5.4","4.1","1.3","Q1@CHEMISTRY, ANALYTICAL","化学","3 [229/490]","","4 [65/106]@CHEMISTRY, ANALYTICAL 分析化学"
"Digital Chemical Engineering","2772-5081","2772-5081","ESCI","5.4","4.1","1.3","Q2@ENGINEERING, CHEMICAL","工程技术","4 [588/1437]","","3 [83/169]@ENGINEERING, CHEMICAL 工程：化工"
"Reviews of Modern Plasma Physics","2367-3192","2367-3192","ESCI","5.4","4.5","0.9","Q1@PHYSICS, FLUIDS & PLASMAS","","","",""
"INTERNATIONAL REVIEWS OF IMMUNOLOGY","0883-0185","1563-5244","SCIE","5.4","2.9","2.5","Q2@IMMUNOLOGY","医学","4 [2704/5603]","","4 [115/179]@IMMUNOLOGY 免疫学"
"SOCIOLOGICAL METHODS & RESEARCH","0049-1241","1552-8294","SSCI","5.3","6.5","-1.2","Q1@SOCIAL SCIENCES, MATHEMATICAL METHODS | Q1@SOCIOLOGY","社会学","2 [118/2039]","是","1 [3/67]@SOCIAL SCIENCES, MATHEMATICAL METHODS 社会科学：数理方法 | 2 [31/216]@SOCIOLOGY 社会学"
"JOURNAL OF COMMUNICATION","0021-9916","1460-2466","SSCI","5.3","5.5","-0.2","Q1@COMMUNICATION","文学","1 [2/1193]","是","1 [1/223]@COMMUNICATION 传播学"
"ANNALS OF FAMILY MEDICINE","1544-1709","1544-1717","SCIE","5.3","5.1","0.2","Q1@MEDICINE, GENERAL & INTERNAL | Q1@PRIMARY HEALTH CARE","医学","2 [843/5603]","","1 [2/28]@PRIMARY HEALTH CARE 初级卫生保健 | 2 [33/327]@MEDICINE, GENERAL & INTERNAL 医学：内科"
"European Journal of Education","0141-8211","1465-3435","SSCI","5.3","3.6","1.7","Q1@EDUCATION & EDUCATIONAL RESEARCH","教育学","2 [97/840]","","3 [98/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"Thinking Skills and Creativity","1871-1871","1878-0423","SSCI","5.3","4.5","0.8","Q1@EDUCATION & EDUCATIONAL RESEARCH","教育学","2 [90/840]","","3 [92/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"Artificial Intelligence and Law","0924-8463","1572-8382","SCIE, SSCI","5.3","3.1","2.2","Q2@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | Q2@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS | Q1@LAW","计算机科学","2 [121/758]","","2 [38/196]@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能 | 2 [35/172]@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用 | 2 [20/427]@LAW 法学"
"ULTRASOUND IN OBSTETRICS & GYNECOLOGY","0960-7692","1469-0705","SCIE","5.3","6.3","-1.0","Q1@ACOUSTICS | Q1@OBSTETRICS & GYNECOLOGY | Q1@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","医学","1 [228/5603]","是","1 [1/40]@ACOUSTICS 声学 | 1 [3/135]@OBSTETRICS & GYNECOLOGY 妇产科学 | 1 [8/206]@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学"
"ANNALS OF THORACIC SURGERY","0003-4975","1552-6259","SCIE","5.3","3.9","1.4","Q1@CARDIAC & CARDIOVASCULAR SYSTEMS | Q1@RESPIRATORY SYSTEM | Q1@SURGERY","医学","2 [656/5603]","","2 [15/101]@RESPIRATORY SYSTEM 呼吸系统 | 2 [35/292]@SURGERY 外科 | 3 [45/223]@CARDIAC & CARDIOVASCULAR SYSTEMS 心脏和心血管系统"
"Research in Globalization","N/A","2590-051X","ESCI","5.3","71.5","-66.2","Q1@ECONOMICS | Q1@ENVIRONMENTAL STUDIES | Q1@SOCIAL SCIENCES, INTERDISCIPLINARY","","","",""
"Radiologia Medica","0033-8362","1826-6983","SCIE","5.3","4.8","0.5","Q1@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","医学","2 [542/5603]","","2 [24/206]@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学"
"Journal of Ovarian Research","N/A","1757-2215","SCIE","5.3","71.5","-66.2","Q1@REPRODUCTIVE BIOLOGY","医学","2 [975/5603]","","2 [7/39]@REPRODUCTIVE BIOLOGY 生殖生物学"
"RMD Open","2056-5933","2056-5933","SCIE","5.3","4.7","0.6","Q1@RHEUMATOLOGY","医学","2 [525/5603]","是","2 [8/55]@RHEUMATOLOGY 风湿病学"
"CHINESE JOURNAL OF PHYSICS","0577-9073","0577-9073","SCIE","5.3","4.6","0.7","Q1@PHYSICS, MULTIDISCIPLINARY","物理与天体物理","2 [91/406]","","2 [23/111]@PHYSICS, MULTIDISCIPLINARY 物理：综合"
"JOURNAL OF PSYCHOPHARMACOLOGY","0269-8811","1461-7285","SCIE","5.3","5.5","-0.2","Q1@CLINICAL NEUROLOGY | Q1@NEUROSCIENCES | Q1@PHARMACOLOGY & PHARMACY | Q1@PSYCHIATRY","医学","3 [1242/5603]","","2 [72/350]@PHARMACOLOGY & PHARMACY 药学 | 3 [82/278]@CLINICAL NEUROLOGY 临床神经病学 | 3 [104/309]@NEUROSCIENCES 神经科学 | 3 [79/277]@PSYCHIATRY 精神病学"
"NEUROIMAGE","1053-8119","1095-9572","SCIE","5.3","4.5","0.8","Q1@NEUROIMAGING | Q1@NEUROSCIENCES | Q1@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","医学","2 [470/5603]","是","1 [2/16]@NEUROIMAGING 神经成像 | 2 [45/309]@NEUROSCIENCES 神经科学 | 2 [21/206]@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学"
"IEEE Transactions on Cloud Computing","2168-7161","2168-7161","SCIE","5.3","5","0.3","Q1@COMPUTER SCIENCE, INFORMATION SYSTEMS | Q1@COMPUTER SCIENCE, THEORY & METHODS","计算机科学","2 [82/758]","","1 [12/143]@COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法 | 2 [29/249]@COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统"
"One Health","N/A","2352-7714","SCIE","5.3","71.5","-66.2","Q1@INFECTIOUS DISEASES | Q1@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","2 [939/5603]","","2 [25/134]@INFECTIOUS DISEASES 传染病学 | 2 [63/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"Animal Research and One Health","2835-5075","2835-5075","ESCI","5.3","","","Q1@AGRICULTURE, DAIRY & ANIMAL SCIENCE | Q1@VETERINARY SCIENCES","","","",""
"Business Ethics the Environment & Responsibility","2694-6416","2694-6424","SSCI","5.3","4.2","1.1","Q2@BUSINESS | Q1@ETHICS","哲学","2 [73/795]","","2 [16/77]@ETHICS 伦理学 | 4 [118/302]@BUSINESS 商业：管理"
"Worldviews on Evidence-Based Nursing","1545-102X","1741-6787","SCIE, SSCI","5.3","3.8","1.5","Q1@NURSING","医学","2 [1040/5603]","","2 [16/191]@NURSING 护理"
"Pulmonology","2531-0429","2531-0437","SCIE","5.3","6.4","-1.1","Q1@RESPIRATORY SYSTEM","医学","2 [581/5603]","","2 [14/101]@RESPIRATORY SYSTEM 呼吸系统"
"Journal of the American College of Radiology","1546-1440","1558-349X","SCIE","5.3","5.1","0.2","Q1@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","医学","2 [1016/5603]","","2 [40/206]@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学"
"JOURNAL OF ENGINEERING EDUCATION","1069-4730","2168-9830","SSCI, SCIE","5.3","3.4","1.9","Q1@EDUCATION & EDUCATIONAL RESEARCH | Q1@EDUCATION, SCIENTIFIC DISCIPLINES | Q1@ENGINEERING, MULTIDISCIPLINARY","教育学","2 [92/840]","","2 [16/179]@ENGINEERING, MULTIDISCIPLINARY 工程：综合 | 3 [94/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究 | 3 [13/86]@EDUCATION, SCIENTIFIC DISCIPLINES 学科教育"
"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436","1471-2970","SCIE","5.3","4.7","0.6","Q1@BIOLOGY","生物学","1 [86/1091]","是","1 [7/109]@BIOLOGY 生物学"
"Biology of Sex Differences","N/A","2042-6410","SCIE","5.3","71.5","-66.2","Q1@ENDOCRINOLOGY & METABOLISM | Q1@GENETICS & HEREDITY","医学","2 [455/5603]","","2 [23/184]@ENDOCRINOLOGY & METABOLISM 内分泌学与代谢 | 2 [23/190]@GENETICS & HEREDITY 遗传学"
"npj Genomic Medicine","N/A","2056-7944","SCIE","5.3","71.5","-66.2","Q1@GENETICS & HEREDITY","医学","2 [414/5603]","","1 [19/190]@GENETICS & HEREDITY 遗传学"
"Clinical Kidney Journal","2048-8505","2048-8513","SCIE","5.3","4.6","0.7","Q1@UROLOGY & NEPHROLOGY","医学","3 [1394/5603]","","3 [38/126]@UROLOGY & NEPHROLOGY 泌尿学与肾脏学"
"JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY","1475-6366","1475-6374","SCIE","5.3","5.4","-0.1","Q1@BIOCHEMISTRY & MOLECULAR BIOLOGY | Q2@CHEMISTRY, MEDICINAL","医学","2 [796/5603]","","2 [63/310]@BIOCHEMISTRY & MOLECULAR BIOLOGY 生化与分子生物学 | 2 [11/72]@CHEMISTRY, MEDICINAL 药物化学"
"INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW","0961-5539","1758-6585","SCIE","5.3","5.1","0.2","Q1@MATHEMATICS, INTERDISCIPLINARY APPLICATIONS | Q1@MECHANICS | Q1@THERMODYNAMICS","工程技术","3 [370/1437]","","3 [38/136]@MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用 | 3 [56/171]@MECHANICS 力学 | 3 [22/78]@THERMODYNAMICS 热力学"
"JOURNAL OF APPLIED ECOLOGY","0021-8901","1365-2664","SCIE","5.3","4.8","0.5","Q1@BIODIVERSITY CONSERVATION | Q1@ECOLOGY","环境科学与生态学","1 [25/504]","是","1 [3/75]@BIODIVERSITY CONSERVATION 生物多样性保护 | 1 [13/196]@ECOLOGY 生态学"
"ECOGRAPHY","0906-7590","1600-0587","SCIE","5.3","4.7","0.6","Q1@BIODIVERSITY CONSERVATION | Q1@ECOLOGY","环境科学与生态学","1 [31/504]","是","1 [5/75]@BIODIVERSITY CONSERVATION 生物多样性保护 | 1 [16/196]@ECOLOGY 生态学"
"Quantum","2521-327X","2521-327X","SCIE","5.3","5.4","-0.1","Q1@PHYSICS, MULTIDISCIPLINARY | Q1@QUANTUM SCIENCE & TECHNOLOGY","物理与天体物理","3 [118/406]","","2 [28/111]@PHYSICS, MULTIDISCIPLINARY 物理：综合 | 3 [10/26]@QUANTUM SCIENCE & TECHNOLOGY 量子科技"
"Array","2590-0056","2590-0056","ESCI","5.3","4.5","0.8","Q1@COMPUTER SCIENCE, THEORY & METHODS","计算机科学","4 [370/758]","","4 [73/143]@COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法"
"IEEE Robotics and Automation Letters","2377-3766","2377-3766","SCIE","5.3","5.3","0.0","Q2@ROBOTICS","计算机科学","2 [100/758]","","2 [8/47]@ROBOTICS 机器人学"
"LUNG CANCER","0169-5002","1872-8332","SCIE","5.3","4.4","0.9","Q1@ONCOLOGY | Q1@RESPIRATORY SYSTEM","医学","2 [759/5603]","","3 [74/318]@ONCOLOGY 肿瘤学 | 3 [17/101]@RESPIRATORY SYSTEM 呼吸系统"
"PHYSICAL REVIEW D","2470-0010","2470-0029","SCIE","5.3","5.3","0.0","Q1@ASTRONOMY & ASTROPHYSICS | Q1@PHYSICS, PARTICLES & FIELDS","物理与天体物理","2 [73/406]","","1 [5/31]@PHYSICS, PARTICLES & FIELDS 物理：粒子与场物理 | 2 [17/84]@ASTRONOMY & ASTROPHYSICS 天文与天体物理"
"PLANT CELL REPORTS","0721-7714","1432-203X","SCIE","5.3","4.5","0.8","Q1@PLANT SCIENCES","生物学","2 [248/1091]","","2 [60/265]@PLANT SCIENCES 植物科学"
"Georisk-Assessment and Management of Risk for Engineered Systems and Geohazards","1749-9518","1749-9526","SCIE","5.3","4.8","0.5","Q1@ENGINEERING, GEOLOGICAL | Q1@GEOSCIENCES, MULTIDISCIPLINARY","工程技术","2 [156/1437]","","2 [37/258]@GEOSCIENCES, MULTIDISCIPLINARY 地球科学：综合 | 3 [15/65]@ENGINEERING, GEOLOGICAL 工程：地质"
"European Heart Journal - Digital Health","N/A","2634-3916","ESCI","5.3","71.5","-66.2","Q1@CARDIAC & CARDIOVASCULAR SYSTEMS","医学","3 [1928/5603]","","4 [91/223]@CARDIAC & CARDIOVASCULAR SYSTEMS 心脏和心血管系统"
"International Journal of Retail & Distribution Management","0959-0552","1758-6690","SSCI","5.3","5.5","-0.2","Q2@BUSINESS | Q1@MANAGEMENT","管理学","3 [165/1025]","","3 [64/302]@BUSINESS 商业：管理 | 3 [101/404]@MANAGEMENT 管理学"
"IEEE Transactions on Control of Network Systems","2325-5870","2372-2533","SCIE","5.3","5","0.3","Q1@AUTOMATION & CONTROL SYSTEMS | Q1@COMPUTER SCIENCE, INFORMATION SYSTEMS","计算机科学","3 [252/758]","","3 [27/83]@AUTOMATION & CONTROL SYSTEMS 自动化与控制系统 | 4 [94/249]@COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统"
"INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS","0142-0615","1879-3517","SCIE","5.3","5","0.3","Q1@ENGINEERING, ELECTRICAL & ELECTRONIC","工程技术","2 [218/1437]","","3 [81/352]@ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气"
"Probiotics and Antimicrobial Proteins","1867-1306","1867-1314","SCIE","5.3","4.4","0.9","Q1@BIOTECHNOLOGY & APPLIED MICROBIOLOGY | Q1@MICROBIOLOGY","生物学","2 [206/1091]","","2 [33/174]@BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物 | 3 [54/159]@MICROBIOLOGY 微生物学"
